codigo_linha,linha,codigo_coluna,coluna,chi2,p,v_cramer,n,p_ajustado,significativo
adc1[SQ007],evento ONG movimento social,CE02,Sexo,14.819664353802734,0.02170666049599099,0.07746662703035918,1470,0.07108578330646656,False
adc1[SQ007],evento ONG movimento social,CE03,Escolaridade_Mae,64.50063414428467,0.002443788799398975,0.056514355770097266,1492,0.013440838396694363,True
adc1[SQ007],evento ONG movimento social,CE04,Cor_Raca,67.36241929020413,5.445710232134782e-06,0.08665844176536892,1447,6.9118629869403e-05,True
adc1[SQ007],evento ONG movimento social,CE05,Religiao,76.74404221483971,0.07141029983209708,0.04392218611407276,1449,0.17076376046805825,False
adc1[SQ007],evento ONG movimento social,CE06,Importancia_Religiao,20.365163031868892,0.31264081708428404,0.02704777202809846,1073,0.45651092760094575,False
adc1[SQ007],evento ONG movimento social,CE10,Ciencia_BasicaXAplicada,63.19381433885302,6.172438533840877e-07,0.10060501892908301,1491,9.258657800761315e-06,True
adc1[SQ007],evento ONG movimento social,CE07,Orientacao_Politica,36.801999040417854,0.18298409471617472,0.030882422759823964,1427,0.3080854655935594,False
adc1[SQ007],evento ONG movimento social,CE08,Nivel_Bolsa_CNPq,30.98099008970935,0.41634212906612944,0.01137195690940426,1491,0.5561791459911789,False
adc1[SQ007],evento ONG movimento social,CE11,GdeArea_CNPq,251.69882428779684,1.0705301964666554e-31,0.15360882447625673,1487,1.7663748241699814e-29,True
adc1[SQ007],evento ONG movimento social,CE13,Regiao_Geografica,29.20595197419575,0.21247609247269394,0.02955857147403792,1489,0.3471144084949951,False
adc1[SQ007],evento ONG movimento social,CE14,Tempo_Vinculo,20.12931946369879,0.6893987187549557,0.0,1478,0.7844881972039152,False
adc1[SQ008],artigo revista público geral,CE02,Sexo,12.221016517737105,0.057215965601751496,0.065143180979858,1466,0.1472397648557224,False
adc1[SQ008],artigo revista público geral,CE03,Escolaridade_Mae,44.33232938286758,0.16052502932569448,0.03056695891199439,1488,0.2848024713842967,False
adc1[SQ008],artigo revista público geral,CE04,Cor_Raca,24.74653270566453,0.41963748897739844,0.011268435369433569,1441,0.5561791459911789,False
adc1[SQ008],artigo revista público geral,CE05,Religiao,62.540518346979,0.386131241004182,0.0170244025947318,1443,0.5265426013693392,False
adc1[SQ008],artigo revista público geral,CE06,Importancia_Religiao,26.297502422017885,0.0931476317392962,0.05093314322257611,1067,0.2076940437430253,False
adc1[SQ008],artigo revista público geral,CE10,Ciencia_BasicaXAplicada,44.97195729513194,0.0004182965066885159,0.07784446112508987,1486,0.003137223800163869,True
adc1[SQ008],artigo revista público geral,CE07,Orientacao_Politica,48.742356819531985,0.016694339162776534,0.05144039988776888,1420,0.06009015557982458,False
adc1[SQ008],artigo revista público geral,CE08,Nivel_Bolsa_CNPq,39.12322141855186,0.12299207665312532,0.03504971148837779,1487,0.2505394154045146,False
adc1[SQ008],artigo revista público geral,CE11,GdeArea_CNPq,114.15394369546078,1.369038166896971e-08,0.09024568897032581,1482,3.2270185362571456e-07,True
adc1[SQ008],artigo revista público geral,CE13,Regiao_Geografica,22.776708345840206,0.533009695497378,0.0,1484,0.6514562944967953,False
adc1[SQ008],artigo revista público geral,CE14,Tempo_Vinculo,17.580831158394766,0.8228562889795109,0.0,1474,0.875943791494318,False
adc1[SQ009],entrevista jornal revista público geral,CE02,Sexo,2.3848470742379058,0.8811259649616875,0.0,1471,0.914376001375336,False
adc1[SQ009],entrevista jornal revista público geral,CE03,Escolaridade_Mae,33.95052053986268,0.5664049530698194,0.0,1493,0.673196652684014,False
adc1[SQ009],entrevista jornal revista público geral,CE04,Cor_Raca,39.42683640655313,0.024620284127397685,0.05165253857822631,1448,0.07522864594482626,False
adc1[SQ009],entrevista jornal revista público geral,CE05,Religiao,43.56183624060867,0.9454658077879815,0.0,1452,0.9629744338581293,False
adc1[SQ009],entrevista jornal revista público geral,CE06,Importancia_Religiao,16.194935766452744,0.5789448135773139,0.0,1075,0.6823278160018342,False
adc1[SQ009],entrevista jornal revista público geral,CE10,Ciencia_BasicaXAplicada,34.09192975674579,0.012270272620542358,0.05999753567571046,1492,0.04938036542413388,True
adc1[SQ009],entrevista jornal revista público geral,CE07,Orientacao_Politica,31.89278690427364,0.3725302618006382,0.0162364748340381,1425,0.5154329741765364,False
adc1[SQ009],entrevista jornal revista público geral,CE08,Nivel_Bolsa_CNPq,47.38093611356197,0.022833615243895322,0.04832201799537293,1492,0.07108578330646656,False
adc1[SQ009],entrevista jornal revista público geral,CE11,GdeArea_CNPq,116.59937844839224,6.094869366079621e-09,0.09154609373477729,1489,1.6760890756718958e-07,True
adc1[SQ009],entrevista jornal revista público geral,CE13,Regiao_Geografica,33.824432113482025,0.08783803072145367,0.04063535977498392,1489,0.1985380146443816,False
adc1[SQ009],entrevista jornal revista público geral,CE14,Tempo_Vinculo,23.225632027734946,0.5065130219909837,0.0,1479,0.6331412774887296,False
adc1[SQ010],livro ou capítulo de divulgação,CE02,Sexo,18.306453196908393,0.005510295738073529,0.09154431823838804,1469,0.025255522132837008,True
adc1[SQ010],livro ou capítulo de divulgação,CE03,Escolaridade_Mae,56.307608531477484,0.016752407010132916,0.047712549389563715,1491,0.06009015557982458,False
adc1[SQ010],livro ou capítulo de divulgação,CE04,Cor_Raca,26.20658580472276,0.34276651315538803,0.019492028993992185,1445,0.49173357169302534,False
adc1[SQ010],livro ou capítulo de divulgação,CE05,Religiao,78.73910492740349,0.05275036259470164,0.04645532047282855,1450,0.14038402948589954,False
adc1[SQ010],livro ou capítulo de divulgação,CE06,Importancia_Religiao,47.17911650218175,0.00019919695910270536,0.09544835751572944,1070,0.0017298683290498096,True
adc1[SQ010],livro ou capítulo de divulgação,CE10,Ciencia_BasicaXAplicada,64.97650947554499,3.135886259026261e-07,0.1025705593387122,1491,5.749124808214812e-06,True
adc1[SQ010],livro ou capítulo de divulgação,CE07,Orientacao_Politica,24.40111033168918,0.7535818225319546,0.0,1426,0.8458571477399491,False
adc1[SQ010],livro ou capítulo de divulgação,CE08,Nivel_Bolsa_CNPq,33.47932631107678,0.3021229508273778,0.021584338950868868,1490,0.45281393432745815,False
adc1[SQ010],livro ou capítulo de divulgação,CE11,GdeArea_CNPq,211.37498266641222,1.9266821730306627e-24,0.1380964386541438,1486,1.5895127927502967e-22,True
adc1[SQ010],livro ou capítulo de divulgação,CE13,Regiao_Geografica,31.830179860856656,0.1312600720715695,0.03629420898960684,1487,0.25590291300440987,False
